ID,Last,First,Age,Gender,Household.Size,Household.Income,Scale,Education.Level,Zip.Code,Interests,Hobbies,Region,Likert,Likert1,Profession,Content.Pre.code,Verbatim.Comments,Purchase.Behavior,Cources,point.latitude,point.longitude
10229,RODRIGUEZ,DEBORAH,33,Male,2,5,6,3,61350,8,2,Africa,7,10,Writer,10,"ABGV LZSN ZIKW UFRU OEZC ZFEA RFGI FXOT",2,Politics,30.6383,81.7118
10099,NELSON,DEBORAH,55,Male,4,2,6,1,48867,9,15,America,6,4,Writer,16,"ABOA GHDT ACEE VXGM CZMY DFWY JBEF JREG",1,Math,30.1515,81.7077
10178,CLARK,KIMBERLY,49,Male,3,5,1,1,11421,6,15,Africa,1,6,Engineer,11,"AGNV XVAN VTTN JARM TGEN CSUL GHHP QFYK",5,Science,30.5709,81.7005
10165,WILSON,LISA,29,Female,4,2,9,1,2038,16,13,Europe,7,9,"Business Man",2,"AKZK SURD ZBAJ WUAF NTUF CFOE FBKJ WUER",4,Computer,30.6199,81.7077
10197,CARTER,STEVEN,22,Female,1,1,1,2,60134,19,1,Australia,2,2,Teacher,7,"ALUJ ZAHH XTIP LDWG UZFN IVSI FLQY WDTM",4,Math,30.5708,81.7027
10080,ROBINSON,JENNIFER,31,Female,3,5,4,1,98512,9,13,Europe,1,5,"Business Man",14,"AMUB YYNK UQGF ODOB CVAG XYER FNBI NHAJ",3,Science,30.1018,81.7077
10141,SCOTT,ELIZABETH,47,Male,1,4,5,1,49428,17,12,Australia,6,7,Student,9,"AQMO WJON CFNH CGEO UBWZ MGAW ALAR KAIM",4,Math,29.7255,81.7139
10048,EVANS,KIMBERLY,28,Female,2,3,9,1,48504,6,6,America,2,10,Engineer,16,"AURZ WOQE XAMN BSNI TYIB JFRJ NEEZ URZP",1,Statistics,29.9634,81.7071
10053,CAMPBELL,MICHAEL,34,Male,2,1,4,3,8831,18,11,Europe,9,3,Engineer,7,"AWSD ECOS TZKO EXOE MKCM PBSX XFVV QGOT",2,Computer,29.9696,81.7046
10167,TAYLOR,KAREN,28,Male,2,2,1,3,32003,8,2,America,5,2,Teacher,11,"AWZD HWEA EEHL XGPU THYM LNXC RMBE DYEB",2,Statistics,30.6711,81.7038
10015,HARRIS,GEORGE,51,Female,3,5,2,1,54911,7,4,Australia,5,2,"Business Man",8,"AXYH SWXZ RMMA AVOF DYDQ IRTH HZZT MTJC",1,Math,30.1014,81.7194
10069,MOORE,BRIAN,52,Male,4,2,3,2,11372,8,11,Asia,10,3,Writer,15,"BAYX AZPG LSNQ VOVM SHMW APPF RRQV FYVZ",5,Statistics,30.5611,81.6951
10168,ANDERSON,BETTY,37,Male,4,4,10,3,13501,19,1,Australia,7,1,Engineer,12,"BHAE KBCI AZWC OQOT ZFOD WBIX NBJW IGCT",4,Geography,30.67,81.7398
10187,KING,CHARLES,22,Female,2,2,7,4,30004,7,1,Europe,1,1,Teacher,5,"BHLP RJHA XVVO QDFM VDGX WNDD EZSF AKQP",4,Politics,30.5708,81.7252
10022,RODRIGUEZ,KEVIN,43,Male,3,2,3,3,8902,13,8,Australia,4,8,Teacher,11,"BIMW CQBA SKRY PROP GTQM AMJK IAGX SXRB",1,Math,30.0919,81.7262
10105,PHILLIPS,RUTH,59,Male,2,1,5,3,12866,17,11,Africa,3,5,"Business Man",1,"BING FLBN LMFZ SVUT ZBGB BDBR DQOI JMZU",3,Geography,30.1515,81.7275
10158,SMITH,LAURA,50,Male,1,1,9,3,40207,17,5,Australia,1,2,Engineer,9,"BNYE AERX WYIN FDAH TXFF KRDV BOQV JMOS",2,Computer,30.6469,81.7324
10225,GARCIA,MICHELLE,23,Male,4,4,5,4,8332,10,6,America,5,8,"Business Man",4,"BTDJ YCNI ANEP KJOK FUAD TTTI GBAC VNJV",6,Math,30.655,81.7417
