ID,Last,First,Age,Gender,HouseholdSize,HouseholdIncome,Profession,Education.Level,Zip.Code,Interests,Hobbies,Binary,Likert,Content.Pre.Code,Verbatim.Comments,Purchase.Behavior
10005,BROWN,DAVID,45,Female,5,3,7,matric,46350,4,10,1,1,14,"XXCE CWFL HDDZ RPZW TKUC WDUE ESCV LVQE",2
10006,DAVIS,RICHARD,34,Male,5,4,4,matric,47401,3,1,0,5,16,"YUWM NASK VWAJ NKDY AKXY UAYM XZML PEHB",2
10007,MILLER,CHARLES,28,Female,4,5,7,matric,19401,6,15,1,7,11,"TRUJ ZBWM KMOI ZZGN YEPU QJET WNZA SEZV",16
10008,WILSON,JOSEPH,21,Male,3,4,1,matric,7093,6,5,0,4,10,"GPQG ZCFI MLNV ZCGL MEVI BCMQ NNKA SEHQ",16
10010,TAYLOR,CHRISTOPHER,48,Male,3,1,5,matric,6340,4,12,0,5,15,"TUPY OQZG KPAZ ECAH CRFV WGOY QTKN CPAR",5
10013,JACKSON,MARK,40,Female,4,2,8,matric,45140,9,8,0,9,9,"TUTW YNJJ YHJA MANW QRFK NYOD XXVS MZBC",16
10014,WHITE,DONALD,23,Male,2,2,3,matric,44012,5,12,1,1,8,"NRFY FIPY FESE TMBP UCQT WOJJ QRUN HNUJ",2
10017,THOMPSON,STEVEN,25,Female,5,4,6,inter,11418,4,7,1,5,11,"KZIL TBSV FICP MDYU CZAV TDTS RSBN EKLQ",5
10019,MARTINEZ,BRIAN,28,Female,4,1,3,inter,18951,20,10,0,7,13,"JCEI GYJE WLUU BYNM BZFZ IWNZ UGLJ TIGP",3
10020,ROBINSON,RONALD,29,Female,2,3,9,inter,59715,3,8,0,5,10,"DVNL YSBO UPDZ IQQH BLRS NXMU TZDP ORGI",4
10026,HALL,PATRICIA,29,Female,5,1,5,inter,18360,4,13,0,6,15,"NCSU IUOI OOCG PPXH GDFJ BFMQ BVQA TNAO",3
10031,WRIGHT,MARIA,47,Male,5,4,1,inter,11590,4,2,1,3,13,"EYSJ VUKT FTCV UPIQ WVQD ZRPD CYTU DCOK",4
10035,GREEN,LISA,43,Male,1,4,5,inter,40165,8,6,0,9,8,"SMZG TZMY EQGP NDSP EDHV OBNL PJIA GSQA",4
10039,NELSON,HELEN,44,Male,1,4,10,inter,20747,5,9,1,1,3,"IFYS WMFU SDMP FUFN DVSW EYXZ LQKY QOYO",4
10044,TURNER,SHARON,32,Male,3,3,8,inter,2135,9,1,0,1,11,"YXYE NUTR FOUB UNPZ FVTW KODD YYMN VLWX",3
10048,EVANS,KIMBERLY,28,Female,2,3,9,inter,48504,6,6,0,2,16,"AURZ WOQE XAMN BSNI TYIB JFRJ NEEZ URZP",1
10054,PARKER,WILLIAM,35,Female,2,2,8,inter,11368,5,8,1,8,11,"ERFR CGJT NVAF YLJR JVVR NOTW ALXK WHHQ",16
10055,EVANS,DAVID,32,Female,1,2,8,inter,55316,3,1,0,2,7,"GSOQ RFXS FEZS DOOK ISXI XDGE HRXJ AVQH",3
10062,EVANS,PAUL,24,Female,4,4,6,inter,7501,5,2,1,4,1,"PIGV LSOU WEUS WOJJ EWPJ GHZH UQOA ARIU",2
10080,ROBINSON,JENNIFER,31,Female,3,5,4,inter,98512,9,13,0,1,14,"AMUB YYNK UQGF ODOB CVAG XYER FNBI NHAJ",3
10083,LEWIS,MARGARET,25,Male,1,2,8,inter,33880,6,2,0,4,16,"CKAU SVOL RZQV SASU VHRN WWXW DFLS DOFY",2
