ID,Last,First,Age,Gender,HouseholdSize,HouseholdIncome,Profession,Education.Level,Zip.Code,Interests,Hobbies,Binary,Likert,Content.Pre.Code,Verbatim.Comments,Purchase.Behavior
10001,SMITH,JOHN,51,Female,3,1,1,matric,33569,13,11,0,3,3,"WVJS XIYW NYZH LGAV RPKK KHUW WIRS ITVY",1
10002,JOHNSON,ROBERT,44,Male,4,1,8,matric,8854,15,6,1,6,10,"ZEYK YOYN POYA MUKG VLJF IJPO MQMT ZOPV",3
10003,WILLIAMS,MICHAEL,55,Male,5,4,2,matric,11003,16,12,1,10,9,"YKPC OKTE ZNSE LWRE HBDS KZYF RZDN MBXR",16
10005,BROWN,DAVID,45,Female,5,3,7,matric,46350,4,10,1,1,14,"XXCE CWFL HDDZ RPZW TKUC WDUE ESCV LVQE",2
10010,TAYLOR,CHRISTOPHER,48,Male,3,1,5,matric,6340,4,12,0,5,15,"TUPY OQZG KPAZ ECAH CRFV WGOY QTKN CPAR",5
10015,HARRIS,GEORGE,51,Female,3,5,2,matric,54911,7,4,1,5,8,"AXYH SWXZ RMMA AVOF DYDQ IRTH HZZT MTJC",1
10022,RODRIGUEZ,KEVIN,43,Male,3,2,3,inter,8902,13,8,1,4,11,"BIMW CQBA SKRY PROP GTQM AMJK IAGX SXRB",1
10024,LEE,MATTHEW,55,Female,5,2,5,inter,7024,16,14,1,4,2,"HQQG NDNS PXAH UBCW MXQY WMYZ JTQP KMGX",1
10025,WALKER,MARY,59,Female,1,4,2,inter,6484,19,7,1,7,9,"IOYZ AFVY ZTPY IDWB MTWC JUGV VEAS VXUN",16
10030,KING,JENNIFER,64,Male,3,5,5,inter,33594,12,7,1,5,15,"GCVH DOYF DYJT OHZW IDPY MVHN XBXO SZBC",3
10031,WRIGHT,MARIA,47,Male,5,4,1,inter,11590,4,2,1,3,13,"EYSJ VUKT FTCV UPIQ WVQD ZRPD CYTU DCOK",4
10032,LOPEZ,SUSAN,56,Male,1,1,4,inter,52804,20,8,1,6,12,"DRBV IZUW YIOF JRMK LUPB GQRL UPVU JWQU",5
10033,HILL,MARGARET,42,Female,4,2,5,inter,11357,15,5,1,7,11,"OWDK YDPM PQHF WDPK QIQJ WXNU XFSW WRQV",3
10034,SCOTT,DOROTHY,48,Male,1,1,5,inter,48706,16,15,1,10,16,"KUBJ WSZP FAYY BYOF ABMS RSXZ MIIZ BPVN",3
10035,GREEN,LISA,43,Male,1,4,5,inter,40165,8,6,0,9,8,"SMZG TZMY EQGP NDSP EDHV OBNL PJIA GSQA",4
10037,BAKER,KAREN,53,Male,3,5,2,inter,56601,16,8,1,8,14,"YUXN MLSR FWYV XBER MCIR ZPPM LCQX UUIU",3
10039,NELSON,HELEN,44,Male,1,4,10,inter,20747,5,9,1,1,3,"IFYS WMFU SDMP FUFN DVSW EYXZ LQKY QOYO",4
10040,CARTER,SANDRA,63,Male,5,1,7,inter,48067,16,14,1,7,1,"HARG FCVV RFCR DJBZ COAO FZGS GCLS CLDS",3
10042,PEREZ,CAROL,41,Male,3,1,7,inter,32003,11,14,0,5,3,"CTPE NRDJ OVDT ACRJ FPSQ JMAF GRLR QZZQ",3
10045,PHILLIPS,MICHELLE,64,Male,1,3,9,inter,19064,17,10,0,9,13,"OTCF KJWU PFSY IAEI HNXD BUEJ ZYSZ EOCL",2
10046,CAMPBELL,LAURA,57,Female,3,3,10,inter,6776,6,9,1,1,9,"FLTC EZVQ ZXTW ESRI IBGZ YKHL ZYZP CBXJ",16
10047,PARKER,SARAH,51,Female,5,5,6,inter,46544,13,1,1,4,4,"USMR VOUF IFNY QEXM QRXQ HIGW JBNY WKEH",3
10049,EDWARDS,DEBORAH,63,Male,4,1,8,inter,32907,14,11,0,9,11,"KJLH HHXU FVIZ WELP YIHM SSZS MIUH PFGT",4
10050,COLLINS,MARY,56,Male,4,2,9,inter,2474,16,12,1,10,13,"DMPH CYNL YOJX RWTN BTGY OHRI XACE BBYB",4
10051,TURNER,JOHN,62,Male,5,5,6,inter,51106,10,12,0,3,8,"QMMT WIBZ DDWK PJRP RCCZ TYQG VLKJ PDMS",2
10056,EDWARDS,RICHARD,62,Male,3,1,1,inter,34990,1,8,0,5,13,"ZAHG TUOF MXHR QJZK ZCOR ODEO ORQV ETXQ",3
10057,COLLINS,CHARLES,51,Female,1,2,7,inter,37918,1,6,1,10,12,"HWPG DUTX LWZT XMPU KIWM FRAW TMSE QONI",4
10066,DAVIS,KENNETH,58,Female,5,4,9,inter,77016,17,1,0,10,4,"BXKY CXLS EQAP DZNS NRIM TCKJ THDU VPFU",5
10068,WILSON,EDWARD,50,Male,4,4,10,inter,45011,1,14,0,6,5,"DEHK KJFG XYQB ZBZZ ZYIF YBEE LBIY GRXZ",2
10069,MOORE,BRIAN,52,Male,4,2,3,inter,11372,8,11,1,10,15,"BAYX AZPG LSNQ VOVM SHMW APPF RRQV FYVZ",5
10071,ANDERSON,ANTHONY,53,Female,5,3,5,inter,47905,5,12,1,5,1,"VUDL KWQS ALXA BYKU IKMX KQOP PANB PUKT",16
10072,THOMAS,KEVIN,63,Female,4,1,6,inter,2920,6,9,1,2,14,"NCKR QJPM QPML XUWM PLOT EEXM NLYF ETSQ",5
10073,JACKSON,JASON,41,Female,4,3,7,inter,32779,12,1,0,8,10,"YJEX XHZQ MYTG COMC CNLP KDDA FHDI GLZF",4
10074,WHITE,MATTHEW,50,Female,2,3,10,inter,20874,14,13,1,8,12,"SHBT HFNF QFMN CSVI ZENN NMBA PXUH RBFL",16
10079,MARTINEZ,ELIZABETH,56,Female,2,3,9,inter,2453,8,10,1,10,10,"DQWO IZNY QQSS CBKU UIOW JVLX UDTW ZCPD",5
10081,CLARK,MARIA,64,Female,4,1,7,inter,11368,20,14,0,3,1,"LEXK HHZU CWFR VCZU XFDI FJOG HCMG GDVW",2
10084,LEE,DOROTHY,52,Male,1,3,2,inter,2136,10,3,0,8,15,"PPMA KZER UIWR EOLR VEHE TFPY AKDX AYNP",5
10085,WALKER,LISA,54,Female,4,4,8,inter,30096,6,1,1,6,13,"YFUK DQUM OHFS QXUI UABU OWXG MGRP FJAB",2
10087,ALLEN,KAREN,46,Male,5,4,7,inter,3820,19,2,0,3,16,"UUNW QWPI XUGP DINP NLXF LRSK SWMM EXOU",16
10089,HERNANDEZ,HELEN,50,Female,3,2,4,inter,29406,6,14,1,1,3,"ZHCA ARQZ RXAD NIQV IFUC NPQP LAWD KYEO",4
10090,KING,SANDRA,60,Male,1,5,3,inter,43551,9,15,0,6,8,"ZTUL UZMI OCIZ BVUQ QBMW IFLT ZGUM SNJM",1
10092,LOPEZ,CAROL,63,Male,1,2,10,inter,6776,13,9,0,8,12,"JSVT YGOK VROZ ZJXM EVBN MPVW WWLO DXHU",4
10093,HILL,RUTH,52,Male,5,2,3,inter,55316,5,12,1,5,12,"GXSZ ULCF PCRM QOCN BBUR NFBU UJIE OIXX",5
10094,SCOTT,SHARON,59,Male,3,1,9,inter,28451,20,6,1,8,16,"JOSP HWOU VOYU EWCU YPJV CUXR LAPN PIUB",5
10096,ADAMS,LAURA,50,Male,2,4,2,inter,11378,20,2,0,7,13,"EKYI HJNQ ESZP UILD CCGA OQDS SQSL ONWW",4
10097,BAKER,SARAH,49,Male,4,3,6,inter,8012,15,8,0,10,10,"RAMN HGOM CMPP ZBWP ICDC XMFF KOZP ODXP",4
10098,GONZALEZ,KIMBERLY,61,Female,1,1,10,inter,21133,10,11,1,7,16,"PBSG TEDW KNRS ATDF JRZG YQYO YDRX IFFR",1
10099,NELSON,DEBORAH,55,Male,4,2,6,inter,48867,9,15,1,6,16,"ABOA GHDT ACEE VXGM CZMY DFWY JBEF JREG",1
