ID,Last,First,Age,Gender,HouseholdSize,HouseholdIncome,Profession,Education.Level,Zip.Code,Interests,Hobbies,Binary,Likert,Content.Pre.Code,Verbatim.Comments,Purchase.Behavior
10001,SMITH,JOHN,51,Female,3,1,1,matric,33569,13,11,0,3,3,"WVJS XIYW NYZH LGAV RPKK KHUW WIRS ITVY",1
10002,JOHNSON,ROBERT,44,Male,4,1,8,matric,8854,15,6,1,6,10,"ZEYK YOYN POYA MUKG VLJF IJPO MQMT ZOPV",3
10003,WILLIAMS,MICHAEL,55,Male,5,4,2,matric,11003,16,12,1,10,9,"YKPC OKTE ZNSE LWRE HBDS KZYF RZDN MBXR",16
10004,JONES,WILLIAM,32,Male,2,4,8,matric,23693,1,12,0,2,2,"ITRG KJXM YBIK TPEB NYOF EYRA CLHK EXBR",2
10005,BROWN,DAVID,45,Female,5,3,7,matric,46350,4,10,1,1,14,"XXCE CWFL HDDZ RPZW TKUC WDUE ESCV LVQE",2
10006,DAVIS,RICHARD,34,Male,5,4,4,matric,47401,3,1,0,5,16,"YUWM NASK VWAJ NKDY AKXY UAYM XZML PEHB",2
10007,MILLER,CHARLES,28,Female,4,5,7,matric,19401,6,15,1,7,11,"TRUJ ZBWM KMOI ZZGN YEPU QJET WNZA SEZV",16
10008,WILSON,JOSEPH,21,Male,3,4,1,matric,7093,6,5,0,4,10,"GPQG ZCFI MLNV ZCGL MEVI BCMQ NNKA SEHQ",16
10009,MOORE,THOMAS,38,Male,2,1,6,matric,38501,12,8,0,3,16,"LEII PFJV STZS VGEZ RZGA ARMQ MDHQ CKKV",4
10010,TAYLOR,CHRISTOPHER,48,Male,3,1,5,matric,6340,4,12,0,5,15,"TUPY OQZG KPAZ ECAH CRFV WGOY QTKN CPAR",5
10011,ANDERSON,DANIEL,40,Male,3,1,8,matric,30518,17,11,1,10,8,"EKYM GUKB EJLV TTEW YOFB NBJN KAOK NSQM",2
10012,THOMAS,PAUL,23,Female,5,2,2,matric,7060,17,10,1,7,5,"ICXR UVHE NNMC QRDX EHQN OSXG OVHE OXTG",1
10013,JACKSON,MARK,40,Female,4,2,8,matric,45140,9,8,0,9,9,"TUTW YNJJ YHJA MANW QRFK NYOD XXVS MZBC",16
10014,WHITE,DONALD,23,Male,2,2,3,B.A.,44012,5,12,1,1,8,"NRFY FIPY FESE TMBP UCQT WOJJ QRUN HNUJ",2
10015,HARRIS,GEORGE,51,Female,3,5,2,B.A.,54911,7,4,1,5,8,"AXYH SWXZ RMMA AVOF DYDQ IRTH HZZT MTJC",1
10016,MARTIN,KENNETH,39,Male,5,3,8,B.A.,60089,17,15,1,8,14,"CABZ HSKA BMEV YQFI DTUD AHKH ZNGM ALQZ",2
10017,THOMPSON,STEVEN,25,Female,5,4,6,B.A.,11418,4,7,1,5,11,"KZIL TBSV FICP MDYU CZAV TDTS RSBN EKLQ",5
10018,GARCIA,EDWARD,37,Male,4,2,10,B.A.,44024,18,4,0,7,11,"ZINT RJPH HXYA LGDZ KFFO COEG VBZK YARW",3
10019,MARTINEZ,BRIAN,28,Female,4,1,3,M.A.,18951,20,10,0,7,13,"JCEI GYJE WLUU BYNM BZFZ IWNZ UGLJ TIGP",3
10020,ROBINSON,RONALD,29,Female,2,3,9,M.A.,59715,3,8,0,5,10,"DVNL YSBO UPDZ IQQH BLRS NXMU TZDP ORGI",4
10021,CLARK,ANTHONY,24,Male,4,1,6,M.A.,3301,18,1,1,4,16,"IKLJ UAYN AKXO JLTB EBBD QKHC LGNS RKCP",2
10022,RODRIGUEZ,KEVIN,43,Male,3,2,3,M.A.,8902,13,8,1,4,11,"BIMW CQBA SKRY PROP GTQM AMJK IAGX SXRB",1
10023,LEWIS,JASON,29,Male,2,2,8,M.A.,55060,18,7,0,8,7,"VCCH IRTK ZGYQ UCMH BQPS JXZX MZWC SGXD",2
10024,LEE,MATTHEW,55,Female,5,2,5,M.A.,7024,16,14,1,4,2,"HQQG NDNS PXAH UBCW MXQY WMYZ JTQP KMGX",1
10025,WALKER,MARY,59,Female,1,4,2,inter,6484,19,7,1,7,9,"IOYZ AFVY ZTPY IDWB MTWC JUGV VEAS VXUN",16
10026,HALL,PATRICIA,29,Female,5,1,5,inter,18360,4,13,0,6,15,"NCSU IUOI OOCG PPXH GDFJ BFMQ BVQA TNAO",3
10027,ALLEN,LINDA,36,Male,1,1,7,inter,2186,16,7,1,3,9,"CQSL RSWZ EOQA HYRB AIQJ JQJI JXKN DNOJ",3
10028,YOUNG,BARBARA,28,Female,3,1,8,inter,58501,14,4,1,7,10,"PZYP HSNE CHWD HCZD RDCS KUFT KIWL RYAN",2
10029,HERNANDEZ,ELIZABETH,23,Male,5,2,4,inter,48348,19,7,1,10,7,"FGKD CSDQ XXQJ YLEC LOHY CCMO AEQY CWIV",3
10030,KING,JENNIFER,64,Male,3,5,5,inter,33594,12,7,1,5,15,"GCVH DOYF DYJT OHZW IDPY MVHN XBXO SZBC",3
10031,WRIGHT,MARIA,47,Male,5,4,1,inter,11590,4,2,1,3,13,"EYSJ VUKT FTCV UPIQ WVQD ZRPD CYTU DCOK",4
10032,LOPEZ,SUSAN,56,Male,1,1,4,inter,52804,20,8,1,6,12,"DRBV IZUW YIOF JRMK LUPB GQRL UPVU JWQU",5
10033,HILL,MARGARET,42,Female,4,2,5,inter,11357,15,5,1,7,11,"OWDK YDPM PQHF WDPK QIQJ WXNU XFSW WRQV",3
10034,SCOTT,DOROTHY,48,Male,1,1,5,inter,48706,16,15,1,10,16,"KUBJ WSZP FAYY BYOF ABMS RSXZ MIIZ BPVN",3
10035,GREEN,LISA,43,Male,1,4,5,inter,40165,8,6,0,9,8,"SMZG TZMY EQGP NDSP EDHV OBNL PJIA GSQA",4
10036,ADAMS,NANCY,29,Male,1,2,3,inter,8742,13,6,1,7,5,"PUFJ QBBE XXOK KHSI PQHH CHHP DLBQ EHEJ",3
10037,BAKER,KAREN,53,Male,3,5,2,inter,56601,16,8,1,8,14,"YUXN MLSR FWYV XBER MCIR ZPPM LCQX UUIU",3
10038,GONZALEZ,BETTY,23,Male,2,1,5,inter,30815,18,12,0,4,7,"ETXP GFYN PNWF MHSZ RBBF PWTZ VXXF PVAF",5
10039,NELSON,HELEN,44,Male,1,4,10,inter,20747,5,9,1,1,3,"IFYS WMFU SDMP FUFN DVSW EYXZ LQKY QOYO",4
10040,CARTER,SANDRA,63,Male,5,1,7,inter,48067,16,14,1,7,1,"HARG FCVV RFCR DJBZ COAO FZGS GCLS CLDS",3
10041,MITCHELL,DONNA,35,Female,3,4,5,inter,44601,15,8,0,4,7,"WSZO RFCZ SBPJ LFKK ZWIJ YQKT VJEH GSWE",3
10042,PEREZ,CAROL,41,Male,3,1,7,inter,32003,11,14,0,5,3,"CTPE NRDJ OVDT ACRJ FPSQ JMAF GRLR QZZQ",3
10043,ROBERTS,RUTH,35,Female,5,5,3,inter,54729,13,6,0,7,8,"MOVF VHAP NZWV OTRW PRVH QDTU HNVN QKVO",3
10044,TURNER,SHARON,32,Male,3,3,8,inter,2135,9,1,0,1,11,"YXYE NUTR FOUB UNPZ FVTW KODD YYMN VLWX",3
10045,PHILLIPS,MICHELLE,64,Male,1,3,9,inter,19064,17,10,0,9,13,"OTCF KJWU PFSY IAEI HNXD BUEJ ZYSZ EOCL",2
10046,CAMPBELL,LAURA,57,Female,3,3,10,inter,6776,6,9,1,1,9,"FLTC EZVQ ZXTW ESRI IBGZ YKHL ZYZP CBXJ",16
10047,PARKER,SARAH,51,Female,5,5,6,inter,46544,13,1,1,4,4,"USMR VOUF IFNY QEXM QRXQ HIGW JBNY WKEH",3
10048,EVANS,KIMBERLY,28,Female,2,3,9,inter,48504,6,6,0,2,16,"AURZ WOQE XAMN BSNI TYIB JFRJ NEEZ URZP",1
10049,EDWARDS,DEBORAH,63,Male,4,1,8,inter,32907,14,11,0,9,11,"KJLH HHXU FVIZ WELP YIHM SSZS MIUH PFGT",4
10050,COLLINS,MARY,56,Male,4,2,9,inter,2474,16,12,1,10,13,"DMPH CYNL YOJX RWTN BTGY OHRI XACE BBYB",4
10051,TURNER,JOHN,62,Male,5,5,6,inter,51106,10,12,0,3,8,"QMMT WIBZ DDWK PJRP RCCZ TYQG VLKJ PDMS",2
10052,PHILLIPS,ROBERT,30,Male,3,4,2,inter,91768,10,6,1,5,2,"GQQZ REVP TAUB DTKK NLXM IHLO LJXG QXKY",3
10053,CAMPBELL,MICHAEL,34,Male,2,1,4,inter,8831,18,11,0,9,7,"AWSD ECOS TZKO EXOE MKCM PBSX XFVV QGOT",2
10054,PARKER,WILLIAM,35,Female,2,2,8,inter,11368,5,8,1,8,11,"ERFR CGJT NVAF YLJR JVVR NOTW ALXK WHHQ",16
10055,EVANS,DAVID,32,Female,1,2,8,inter,55316,3,1,0,2,7,"GSOQ RFXS FEZS DOOK ISXI XDGE HRXJ AVQH",3
10056,EDWARDS,RICHARD,62,Male,3,1,1,inter,34990,1,8,0,5,13,"ZAHG TUOF MXHR QJZK ZCOR ODEO ORQV ETXQ",3
10057,COLLINS,CHARLES,51,Female,1,2,7,inter,37918,1,6,1,10,12,"HWPG DUTX LWZT XMPU KIWM FRAW TMSE QONI",4
10058,TURNER,JOSEPH,39,Male,3,5,8,inter,1803,16,8,1,3,14,"TBQL ZALI DLIN URWF ZSNP EVKV CIGT YUWL",3
10059,PHILLIPS,THOMAS,22,Male,5,3,1,inter,1020,19,8,0,9,8,"WGQF SFHA FYMP LCFA CSGN WKPQ VJPY XPQJ",3
10060,CAMPBELL,CHRISTOPHER,36,Male,3,4,4,inter,8401,11,11,1,10,8,"TVVR OWTJ TEQP COHE WQEL PXIV VFCI EWQA",5
10061,PARKER,DANIEL,35,Female,2,3,10,inter,30240,10,14,0,5,2,"SCES FWWI JXFF CAFS DSVO HVEJ IVMJ SWFX",2
10062,EVANS,PAUL,24,Female,4,4,6,inter,7501,5,2,1,4,1,"PIGV LSOU WEUS WOJJ EWPJ GHZH UQOA ARIU",2
10063,EDWARDS,MARK,22,Female,1,5,6,inter,48601,13,6,1,5,5,"EKYR CEFE VZNL JDDX FDRG XHJG IIXJ NHKL",3
10064,COLLINS,DONALD,21,Male,3,2,10,inter,21401,10,2,1,8,6,"NXLE HDIT DHMO JJZX BQWL HZHC CPMI JTXZ",2
10065,BROWN,GEORGE,37,Male,2,4,1,inter,35007,16,12,0,5,12,"PWKA NMSJ NDZG RDDH FNJV OVSA ILTZ UMVI",4
10066,DAVIS,KENNETH,58,Female,5,4,9,inter,77016,17,1,0,10,4,"BXKY CXLS EQAP DZNS NRIM TCKJ THDU VPFU",5
10067,MILLER,STEVEN,32,Male,3,2,2,inter,8648,19,13,1,6,3,"XUXO KQWU XIVJ DOLU XAZE VOXS BASH GOAT",1
10068,WILSON,EDWARD,50,Male,4,4,10,inter,45011,1,14,0,6,5,"DEHK KJFG XYQB ZBZZ ZYIF YBEE LBIY GRXZ",2
10069,MOORE,BRIAN,52,Male,4,2,3,inter,11372,8,11,1,10,15,"BAYX AZPG LSNQ VOVM SHMW APPF RRQV FYVZ",5
10070,TAYLOR,RONALD,29,Male,4,4,1,inter,31061,2,2,1,9,8,"VZQX EZQN KZNQ QJPQ VKPI OETE ZIKT YOLX",3
10071,ANDERSON,ANTHONY,53,Female,5,3,5,inter,47905,5,12,1,5,1,"VUDL KWQS ALXA BYKU IKMX KQOP PANB PUKT",16
10072,THOMAS,KEVIN,63,Female,4,1,6,inter,2920,6,9,1,2,14,"NCKR QJPM QPML XUWM PLOT EEXM NLYF ETSQ",5
10073,JACKSON,JASON,41,Female,4,3,7,inter,32779,12,1,0,8,10,"YJEX XHZQ MYTG COMC CNLP KDDA FHDI GLZF",4
10074,WHITE,MATTHEW,50,Female,2,3,10,inter,20874,14,13,1,8,12,"SHBT HFNF QFMN CSVI ZENN NMBA PXUH RBFL",16
10075,HARRIS,MARY,28,Male,3,5,10,inter,33125,13,3,1,1,10,"IJOX ZHWJ LPKP NRUH EVXX KYBA GSKK CWHN",1
10076,MARTIN,PATRICIA,22,Male,5,4,7,inter,8330,11,10,0,6,11,"FPKJ VKPE HWHH MQOQ PHLB HHFU UBYW LYKP",5
10077,THOMPSON,LINDA,33,Female,4,5,8,inter,21030,17,9,0,1,7,"JUXM UQTM TEGK LVXF JQHL TEZI QLUT OTMW",5
10078,GARCIA,BARBARA,39,Male,5,5,9,Dr.,19067,14,11,1,10,4,"TKDG TOWF PFZI FOKF GLCL NRYH DRWS ULZW",5
10079,MARTINEZ,ELIZABETH,56,Female,2,3,9,Dr.,2453,8,10,1,10,10,"DQWO IZNY QQSS CBKU UIOW JVLX UDTW ZCPD",5
10080,ROBINSON,JENNIFER,31,Female,3,5,4,Dr.,98512,9,13,0,1,14,"AMUB YYNK UQGF ODOB CVAG XYER FNBI NHAJ",3
10081,CLARK,MARIA,64,Female,4,1,7,Dr.,11368,20,14,0,3,1,"LEXK HHZU CWFR VCZU XFDI FJOG HCMG GDVW",2
10082,RODRIGUEZ,SUSAN,35,Female,2,1,8,inter,23139,16,3,1,9,16,"XMKG CXHH KJTI OJUQ OIUQ IJAF GWFY TNUL",5
10083,LEWIS,MARGARET,25,Male,1,2,8,inter,33880,6,2,0,4,16,"CKAU SVOL RZQV SASU VHRN WWXW DFLS DOFY",2
10084,LEE,DOROTHY,52,Male,1,3,2,inter,2136,10,3,0,8,15,"PPMA KZER UIWR EOLR VEHE TFPY AKDX AYNP",5
10085,WALKER,LISA,54,Female,4,4,8,inter,30096,6,1,1,6,13,"YFUK DQUM OHFS QXUI UABU OWXG MGRP FJAB",2
10086,HALL,NANCY,37,Female,1,4,1,inter,11727,2,15,0,9,7,"YDPK VDGU KSOT GGEK AAKV LZEN TATA WIZJ",3
10087,ALLEN,KAREN,46,Male,5,4,7,inter,3820,19,2,0,3,16,"UUNW QWPI XUGP DINP NLXF LRSK SWMM EXOU",16
10088,YOUNG,BETTY,31,Female,1,2,8,inter,22191,12,10,0,3,3,"DRJI FCYR SPWE ZHPB ZSHP CATM TMUB LIUS",4
10089,HERNANDEZ,HELEN,50,Female,3,2,4,inter,29406,6,14,1,1,3,"ZHCA ARQZ RXAD NIQV IFUC NPQP LAWD KYEO",4
10090,KING,SANDRA,60,Male,1,5,3,M.Phil,43551,9,15,0,6,8,"ZTUL UZMI OCIZ BVUQ QBMW IFLT ZGUM SNJM",1
10091,WRIGHT,DONNA,26,Male,5,2,2,M.Phil,60107,10,2,1,3,15,"XIPI AAXQ AKRT WGFT ZHFY CYAS NDGE NGHE",16
10092,LOPEZ,CAROL,63,Male,1,2,10,M.Phil,6776,13,9,0,8,12,"JSVT YGOK VROZ ZJXM EVBN MPVW WWLO DXHU",4
10093,HILL,RUTH,52,Male,5,2,3,M.Phil,55316,5,12,1,5,12,"GXSZ ULCF PCRM QOCN BBUR NFBU UJIE OIXX",5
10094,SCOTT,SHARON,59,Male,3,1,9,M.Phil,28451,20,6,1,8,16,"JOSP HWOU VOYU EWCU YPJV CUXR LAPN PIUB",5
10095,GREEN,MICHELLE,33,Male,5,1,5,Ph.Dr.,6611,19,8,1,4,14,"TUPT LMOT LEBX ZQOD HWKL YIXT TIIO NYRW",2
10096,ADAMS,LAURA,50,Male,2,4,2,Ph.Dr.,11378,20,2,0,7,13,"EKYI HJNQ ESZP UILD CCGA OQDS SQSL ONWW",4
10097,BAKER,SARAH,49,Male,4,3,6,Ph.Dr.,8012,15,8,0,10,10,"RAMN HGOM CMPP ZBWP ICDC XMFF KOZP ODXP",4
10098,GONZALEZ,KIMBERLY,61,Female,1,1,10,Ph.Dr.,21133,10,11,1,7,16,"PBSG TEDW KNRS ATDF JRZG YQYO YDRX IFFR",1
10099,NELSON,DEBORAH,55,Male,4,2,6,Ph.Dr.,48867,9,15,1,6,16,"ABOA GHDT ACEE VXGM CZMY DFWY JBEF JREG",1
